F5F6	Diagonal Opening
F5F6E6F4G7	X-square Opening
F5F6E6F4G6	Snake/Peasant
F5F6E6F4G6C6	Lysons
F5F6E6F4G6C5G4G5F3E3C4	Pyramid/Checkerboarding Peasant
F5F6E6F4G5	Heath/Tobidashi
F5F6E6F4G5E7F7C5E3F3C4D3C2	Mimura Variation II
F5F6E6F4G5E7E3	Heath-Bat
F5F6E6F4G5E7D7	Iwasaki Variation
F5F6E6F4G5D6	Heath-Chimney
F5F6E6F4G4	Raccoon Dog
F5F6E6F4G3	Rocket
F5F6E6F4G3F3G4	Hamilton
F5F6E6F4G3D6	Lollipop
F5F6E6F4E3	Cow
F5F6E6F4E3D6	Chimney
F5F6E6F4E3C5G5	Cow Bat/Bat/Cambridge
F5F6E6F4E3C5G5G3G4F3G6	Bat (Piau Continuation 2)
F5F6E6F4E3C5G5G3G4F3C4	Melnikov/Bat (Piau Continuation 1)
F5F6E6F4E3C5G5F3G4G6G3D6F7H5H4H3E7	Bat (Kling Continuation)
F5F6E6F4E3C5G5D6G6	Bat (Kling Alternative)
F5F6E6F4E3C5C4	Rose-v-Toth
F5F6E6F4E3C5C4E7	Tanida
F5F6E6F4E3C5C4E7G4	Aircraft/Feldborg
F5F6E6F4E3C5C4E7B5E2	Sailboat
F5F6E6F4E3C5C4D3F3E2	Maruoka
F5F6E6F4E3C5C4D3C3	Landau
F5F6E6F4C3	Buffalo/Kenichi Variation
F5F6E6F4C3D7F3	Maruoka Buffalo
F5F6E6F4C3D6F3C4C5B4	Tanida Buffalo
F5F6E6F4C3C4	Hokuriku Buffalo
F5F6D3F4	Wing Variation
F5F6C4F4	Semi-Wing Variation
F5F4	Parallel Opening
F5D6	Perpendicular Opening
F5D6C5F4E3D3	Mimura
F5D6C5F4E3C6F3	Shaman/Danish
F5D6C5F4E3C6E6	Inoue
F5D6C5F4E3C6E6F6	Iago
F5D6C5F4E3C6D7	Bhagat
F5D6C5F4E3C6D3F6E6D7	Rose
F5D6C5F4E3C6D3F6E6D7G4	Flat
F5D6C5F4E3C6D3F6E6D7G4C4	Rotating Flat
F5D6C5F4E3C6D3F6E6D7G4C4G6	Murakami Variation
F5D6C5F4E3C6D3F6E6D7G4C4G5C3F7D2E7F2	Rotating Flat (Kling Continuation)
F5D6C5F4E3C6D3F6E6D7G3C4	Rose-Birth
F5D6C5F4E3C6D3F6E6D7G3C4G5C3B4E2	Brightstein
F5D6C5F4E3C6D3F6E6D7G3C4B4	Rose-Birdie/Rose-Tamenori
F5D6C5F4E3C6D3F6E6D7G3C4B4C3	Rose-Tamenori-Kling
F5D6C5F4E3C6D3F6E6D7E7	Greenberg/Dawg
F5D6C5F4E3C6D3F3	Ralle
F5D6C5F4D3	Horse
F5D6C4G5	Ganglion/No-Cat
F5D6C4G5C6	Swallow
F5D6C4G5C6C5D7D3B4C3E3F3	No-Cat (Continuation)
F5D6C4D3E6	Italian
F5D6C4D3C5	Cat
F5D6C4D3C5F4E3F3C2C6	Sakaguchi
F5D6C4D3C5F4E3F3C2B4B3	Berner
F5D6C3G5	Bent Ganglion
F5D6C3D3C4	Tiger
F5D6C3D3C4F4F6	Stephenson
F5D6C3D3C4F4F6G5	No-Kung
F5D6C3D3C4F4F6G5E3F3G4H3G3F2	No-Kung (Continuation)
F5D6C3D3C4F4F6F3	Comp'Oth
F5D6C3D3C4F4F6F3E6E7D7G6F8F7G5H6H4G4H3H5H7	F.A.T. Draw
F5D6C3D3C4F4F6F3E3	Lighning Bolt
F5D6C3D3C4F4F6B4	Kung
F5D6C3D3C4F4E6	Leader's Tiger
F5D6C3D3C4F4E3	Brightwell
F5D6C3D3C4F4C5B4B5C6F3E6E3	Ishii
F5D6C3D3C4F4C5B4B5C6F3E6E3G6F6G5D7G3	Mainline Tiger
F5D6C3D3C4F4C5B3C2	Rose-Bill
F5D6C3D3C4F4C5B3C2E6	Tamenori
F5D6C3D3C4F4C5B3C2B4	Central Rose-Bill/Dead Draw
F5D6C3D3C4B3	Aubrey/Tanaka
F5D6C3D3C4B3D2F4	Aubrey (Feldborg Continuation)
